RegistroGenealogico Media cg287646953_BC21 cg287647051_BC21 cg287647433_TC11 Avg
ESPH1705292271 1 0.8882117 0.9223486 0.9683757 0.620138211311013
ESPH1705292272 1 0.9018503 0.9241499 0.9696804 0.615100444822964
ESPH1705292273 1 0.9072656 0.9183941 0.9675154 0.620561661516586
ESPH1705292274 1 0.8868368 0.9111628 0.9719305 0.618913776372937
ESPH1705292276 1 0.8728806 0.9204674 0.9673815 0.618177442996704
ESPH1705292277 1 0.8718214 0.9188500 0.9705303 0.623702758466211
ESPH1705292278 1 0.8598385 0.8705977 0.9706409 0.622471363880064
ESPH1705292279 1 0.8956517 0.9110876 0.9667485 0.620441661023365
ESPH1705292280 1 0.8810240 0.9088864 0.9689439 0.626515100645418
ESPH1705292282 1 0.8790088 0.9269841 0.9691672 0.625998416682744
ESPH1705292283 1 0.8606929 0.9222906 0.9710311 0.626228215870606
ESPH1705292284 1 0.8762602 0.8813345 0.9727522 0.622536751428859
ESPH1705292285 1 0.8458661 0.8674741 0.9715654 0.621701403337781
ESPH1705357208 1 0.8970168 0.9179666 0.9737213 0.61335901639314
ESPH1705357209 1 0.8890367 0.8781572 0.9728055 0.621144228788156
ESPH1705357210 1 0.9084745 0.8919955 0.9753520 0.604184570576447
ESPH1705357213 1 0.9075291 0.8936288 0.9747946 0.619210979084459
ESPH1705357220 1 0.9140572 0.8488464 0.9741040 0.617770927801876
ESPH1705357222 1 0.8952554 0.8317727 0.9723338 0.620156319452465
ESPH1705357224 1 0.8442386 0.8951307 0.9748038 0.628895486838424
ESPH1705357226 1 0.8732175 0.9002991 0.9695688 0.623760983021999
ESPH1705357223 1 0.8553033 0.8826276 0.9692879 0.612749259987594
ESPH1705357227 1 0.9009028 0.9032290 0.9717389 0.625708506903698
ESPH1705357228 1 0.8832067 0.9125198 0.9749286 0.628268477521249
ESPH1705357229 1 0.9092697 0.8418884 0.9735014 0.625243718647267
ESPH1705357230 1 0.8957741 0.9093580 0.9693417 0.627121524560638
ESPH1705357231 1 0.8897183 0.8500013 0.9746644 0.627278628469212
ESPH1705357232 1 0.8762892 0.9386751 0.9720458 0.635980705886683
ESPH1705357233 1 0.8791804 0.9403523 0.9737768 0.628327269537674
ESPH1705357235 1 0.8769514 0.9181103 0.9715024 0.619890476448151
ESPH1705357234 1 0.9151603 0.8854269 0.9701499 0.62953678687985
ESPH1705357236 1 0.8511741 0.9138859 0.9738660 0.627932404715434
ESPH1705357237 1 0.8472812 0.8818578 0.9748314 0.619338649559218
ESPH1705357238 1 0.8642160 0.9082773 0.9686769 0.62350389473119
ESPH1705357239 1 0.9149048 0.9125476 0.9717016 0.629129863078885
ESPH1705357240 1 0.8920337 0.9318672 0.9760578 0.636021612150857
ESPH1705357241 1 0.8960337 0.9072012 0.9730408 0.628667346840488
ESPH1705358099 1 0.9045759 0.8815848 0.9741965 0.626981634754877
ESPH1705358101 1 0.8265418 0.9240552 0.9746546 0.617818893821677
ESPH1705358102 1 0.8720320 0.8060282 0.9742850 0.627328966403537
ESPH1705358103 1 0.9029336 0.8769667 0.9758769 0.631252018993301
ESPH1705358100 1 0.9244901 0.9083318 0.9746678 0.629289157464764
ESPH1705358104 1 0.9032697 0.8547771 0.9757104 0.626654915998339
ESPH1705358105 1 0.8891887 0.8715772 0.9762892 0.630274336138719
ESPH1705358106 1 0.8732867 0.9168687 0.9729985 0.627290230901474
ESPH1705358107 1 0.9090724 0.8793281 0.9758735 0.631487472313317
ESPH1705358108 1 0.8811916 0.8541762 0.9775049 0.626758175530654
ESPH1705358109 1 0.9022361 0.8826534 0.9736676 0.630331391321999
ESPH1705358110 1 0.8981653 0.8937182 0.9734910 0.632426640435852
ESPH1705358111 1 0.9157817 0.9156337 0.9876784 0.645468261945043
ESPH1705358112 1 0.9049793 0.8821483 0.9820676 0.643309166640541
ESPH1705358113 1 0.8940428 0.8655349 0.9675974 0.634005685184218
ESPH1705358114 1 0.8877165 0.8254706 0.9634097 0.634849356255198
ESPH1705358115 1 0.9044705 0.8669239 0.9702012 0.623764668829796
ESPH1705358117 1 0.9081615 0.8893741 0.9672841 0.623975331993971
ESPH1705358119 1 0.9126685 0.8339858 0.9832868 0.640664787723178
ESPH1705358120 1 0.9353172 0.8445000 0.9857625 0.648838320345874
ESPH1705358122 1 0.8935258 0.8358428 0.9702795 0.627988930612138
ESPH1705358123 1 0.9002887 0.8861728 0.9724861 0.624092414510075
ESPH1705358124 1 0.9223373 0.8509429 0.9744469 0.626426560633896
ESPH1705358125 1 0.9103525 0.8255070 0.9733823 0.615559724529421
ESPH1705358126 1 0.8795132 0.8427813 0.9748527 0.623368741049491
ESPH1705358127 1 0.8752636 0.9146160 0.9763595 0.639922714662272
ESPH1705358128 1 0.9140419 0.9016703 0.9866861 0.65572101598269
ESPH1705358129 1 0.8672969 0.8890254 0.9686058 0.617883928866506
ESPH1705358130 1 0.8674403 0.8783016 0.9634517 0.623757028214014
ESPH1705358131 1 0.8979834 0.8762478 0.9742601 0.626689856572106
ESPH1705358132 1 0.8661873 0.9082406 0.9719294 0.62977389564866
ESPH1705384609 1 0.9030910 0.7848053 0.9725706 0.61503935023261
ESPH1705358133 1 0.8880647 0.8929809 0.9736770 0.621950554216506
ESPH1705358134 1 0.9119615 0.8475724 0.9749761 0.631480966599759
ESPH1705358135 1 0.8719594 0.8891468 0.9786069 0.638885581001822
ESPH1705358137 1 0.8744064 0.8734394 0.9691701 0.62449286657283
ESPH1705384609 1 0.8617044 0.7839150 0.9684961 0.615609733900723
ESPH1705384612 1 0.8567452 0.8770462 0.9724470 0.617382363835718
ESPH1705384613 1 0.8778100 0.8582371 0.9744084 0.61837025465686
ESPH1705384614 1 0.8914481 0.8981506 0.9731110 0.625213671171115
ESPH1705384615 1 0.8551115 0.8466342 0.9736333 0.615547381363934
ESPH1705384617 1 0.8878991 0.8241999 0.9682876 0.615926222134378
ESPH1705384616 1 0.8708222 0.8410655 0.9668436 0.622948925224357
ESPH1705384618 1 0.8699759 0.8550294 0.9724053 0.620847555873955
ESPH1705384619 1 0.8985655 0.8501245 0.9748005 0.62134813445552
ESPH1705384621 1 0.8633126 0.8965782 0.9735497 0.621973934318435
ESPH1705384622 1 0.8670616 0.9073702 0.9754475 0.620361819927626
ESPH1705384628 1 0.8589117 0.8687824 0.9760567 0.627312526995632
ESPH1705384624 1 0.9028116 0.8415787 0.9740889 0.617580049776367
ESPH1705384625 1 0.8255959 0.8543371 0.9678727 0.612052205012755
